;gene_symbol;Spearman_r;p;p_fdr;p_spin;p_spin_fdr
133;GABRD;0.096717854;0.43268152;0.666901682;0.196;0.304126556
300;ROBO2;-0.119050574;0.333564126;0.57073128;0.1965;0.304126556
356;TUBA1A;-0.088471927;0.473102053;0.690125026;0.1975;0.304411157
257;NXPH4;0.111587246;0.364964492;0.599699364;0.2025;0.310833333
14;APOE;-0.101031696;0.41233969;0.651706375;0.205;0.313381148
54;CDK4;0.0745951;0.545467509;0.742497575;0.2065;0.314385714
350;TPD52L1;0.105860908;0.390238553;0.627409397;0.2095;0.317656504
40;CBX5;0.089788985;0.466512961;0.687783931;0.216;0.324703187
110;ENTPD5;0.092575803;0.452736366;0.677718748;0.2175;0.324703187
113;EPHA5;-0.095381709;0.43909529;0.671239931;0.2185;0.324703187
129;GABPA;0.072686321;0.555824886;0.742497575;0.2185;0.324703187
136;GALNT10;0.096087957;0.435698529;0.668788278;0.2175;0.324703187
219;MFAP3;0.098073088;0.426230599;0.662433389;0.22;0.325634921
74;COL19A1;0.080512317;0.513966862;0.726172877;0.2235;0.329507905
56;CDS2;-0.092270398;0.454235086;0.677718748;0.225;0.330413386
297;RND2;-0.094293704;0.444357103;0.673760974;0.227;0.332043137
67;CLIC5;-0.078546274;0.524329688;0.729757364;0.228;0.332203125
19;ARL6IP1;-0.086047777;0.485359473;0.6989926;0.2335;0.336276062
175;HS3ST1;0.083814505;0.496798679;0.712715028;0.2335;0.336276062
189;JUN;-0.071960985;0.559785129;0.742497575;0.2325;0.336276062
24;AURKA;-0.071674668;0.561352054;0.742497575;0.2355;0.337851923
258;OLIG1;0.096813293;0.432225431;0.666901682;0.239;0.341559387
116;ETV5;0.082153867;0.505394875;0.719512551;0.241;0.342150376
172;HOMER2;-0.090972428;0.460635037;0.684529358;0.2425;0.342150376
202;LGMN;-0.079596103;0.518783153;0.727466602;0.242;0.342150376
320;SLC6A1;-0.072400004;0.557386543;0.742497575;0.2435;0.342150376
342;TIMP2;-0.074957769;0.54351024;0.742497575;0.244;0.342150376
118;FEM1B;-0.10047815;0.4149185;0.653015191;0.25;0.348643657
174;HRH3;-0.071789195;0.560725035;0.742497575;0.2505;0.348643657
17;ARHGDIB;-0.065891066;0.593439273;0.758057702;0.2525;0.349514815
212;MAD2L1;0.089960775;0.465657199;0.687783931;0.253;0.349514815
294;RHOA;0.066559139;0.589691221;0.755858507;0.2565;0.353042435
248;NOTCH1;0.086143216;0.484873743;0.6989926;0.2575;0.353115809
316;SFRP1;-0.071044771;0.564806569;0.744427032;0.26;0.355238095
286;PSPH;-0.088051995;0.475213392;0.690125026;0.261;0.35530292
349;TPBG;-0.068162514;0.580739694;0.749001511;0.2635;0.357401818
339;TCF7L2;0.080016034;0.516572862;0.72710067;0.2645;0.357458333
138;GAS5;-0.073239867;0.552811614;0.742497575;0.2655;0.35751444
49;CDH18;-0.073163516;0.553226772;0.742497575;0.2665;0.357570144
188;ITM2B;-0.073507096;0.551359738;0.742497575;0.268;0.358293907
227;MOSPD2;-0.071941897;0.559889526;0.742497575;0.27;0.359678571
32;CABP7;0.077935464;0.527570367;0.731538093;0.276;0.366362989
16;ARHGAP26;-0.065356608;0.596445365;0.758761362;0.283;0.369087413
112;EPHA3;0.053808492;0.662977684;0.808139464;0.282;0.369087413
165;H2AFZ;0.069479572;0.5734335;0.749001511;0.2805;0.369087413
263;PCDH17;-0.059477567;0.629949194;0.783236832;0.28;0.369087413
304;SDK2;-0.062856107;0.610598668;0.769436834;0.283;0.369087413
8;AGPAT4;0.05850409;0.635571907;0.787602396;0.289;0.37107732
125;FYN;0.068849674;0.576922453;0.749001511;0.287;0.37107732
178;IGFBP3;-0.067914372;0.582120976;0.749001511;0.2895;0.37107732
235;NCOR1;0.051136201;0.67877658;0.814095384;0.289;0.37107732
240;NFASC;0.08870098;0.471952542;0.690125026;0.2875;0.37107732
223;MMP16;-0.071712843;0.561143011;0.742497575;0.2925;0.373638699
96;DDHD1;0.043730137;0.723270086;0.848363969;0.298;0.379365188
119;FGFR1;0.051880625;0.674361217;0.81140882;0.3015;0.379930743
222;MLLT3;-0.081294916;0.509871021;0.723125061;0.3;0.379930743
299;RNF130;0.068391567;0.579465997;0.749001511;0.3015;0.379930743
114;EPN2;0.052166942;0.672665904;0.81140882;0.305;0.38048495
127;FZD2;-0.065070291;0.598058553;0.758761362;0.3045;0.38048495
310;SEMA5B;0.05997385;0.627090729;0.783236832;0.303;0.38048495
135;GADD45A;-0.059916587;0.627420274;0.783236832;0.3125;0.387250831
210;LRRTM1;0.04699415;0.70353761;0.835730983;0.3115;0.387250831
90;CUX2;0.058084158;0.638003767;0.78799803;0.3145;0.388438742
295;RHOBTB3;-0.073106252;0.553538238;0.742497575;0.3205;0.393245066
364;ZHX1;0.040237071;0.744587953;0.859849246;0.32;0.393245066
18;ARHGEF3;-0.059496655;0.629839153;0.783236832;0.326;0.398431818
103;EFHD2;-0.049380124;0.689234852;0.823395216;0.328;0.398431818
107;ELF2;0.053808492;0.662977684;0.808139464;0.329;0.398431818
353;TRIB2;-0.037278462;0.76279558;0.871445263;0.329;0.398431818
63;CKS2;0.079004381;0.521905736;0.729104268;0.331;0.399556634
345;TMEFF2;-0.041210548;0.738626873;0.858822459;0.3345;0.402479032
94;DCT;0.068086163;0.581164544;0.749001511;0.337;0.40418328
330;SULF1;-0.039397208;0.7497429;0.863129943;0.3385;0.40468109
271;PHYHIPL;-0.04474179;0.717134215;0.848363969;0.3435;0.409346645
6;ADCY8;0.041611392;0.736176742;0.858822459;0.3465;0.409476341
176;ID4;-0.052739576;0.669280158;0.81140882;0.348;0.409476341
206;LPAR1;0.052128766;0.672891852;0.81140882;0.347;0.409476341
365;ZIC1;0.028765306;0.815873839;0.88984472;0.3455;0.409476341
276;PNP;-0.054572004;0.658490114;0.807950041;0.35;0.410534591
341;TIMELESS;0.057645139;0.640550242;0.788532145;0.354;0.413924765
285;PSIP1;0.031609387;0.798036501;0.88984472;0.356;0.4149625
9;ALCAM;0.029929662;0.808559477;0.88984472;0.3605;0.416304954
346;TMEM132D;-0.043730137;0.723270086;0.848363969;0.3585;0.416304954
354;TRPS1;0.044073717;0.721184233;0.848363969;0.36;0.416304954
196;KIF13A;-0.040256158;0.744470924;0.859849246;0.3675;0.422924615
246;NMBR;0.067876197;0.582333614;0.749001511;0.3685;0.422924615
2;ABCD4;0.064478569;0.601398594;0.760412459;0.37;0.423036585
92;DBI;0.027982707;0.820798915;0.889994172;0.372;0.423036585
184;INPP5A;0.041134197;0.739093859;0.858822459;0.372;0.423036585
134;GAD1;0.031781178;0.796962272;0.88984472;0.3785;0.425085586
151;GPM6B;-0.034663435;0.778996603;0.885871136;0.378;0.425085586
169;HMGB2;0.028536253;0.817314598;0.88984472;0.377;0.425085586
209;LRRFIP1;0.026360244;0.831031248;0.894368512;0.3795;0.425085586
301;ROCK1;0.031552124;0.798394661;0.88984472;0.379;0.425085586
23;ATP6AP2;0.02838355;0.81827544;0.88984472;0.386;0.429785075
329;STT3B;-0.049093807;0.690945583;0.823395216;0.3855;0.429785075
269;PDIA5;0.024546904;0.842500521;0.895070093;0.3925;0.435721726
275;PLXNA4;0.028421726;0.818035205;0.88984472;0.3975;0.439764793
351;TPPP;-0.037087584;0.763974801;0.871445263;0.3985;0.439764793
4;ADAM10;0.032411075;0.793026659;0.88984472;0.401;0.441218289
141;GFAP;0.02899436;0.814433688;0.88984472;0.405;0.443005865
192;KCNIP3;0.030025101;0.807960654;0.88984472;0.404;0.443005865
252;NR4A2;-0.02544403;0.836822013;0.894368512;0.4095;0.445316327
296;RNASEL;-0.03790836;0.75890798;0.87099285;0.4095;0.445316327
31;C1QA;-0.026131191;0.832478112;0.894368512;0.417;0.450843478
38;CARHSP1;-0.033098235;0.788739134;0.88984472;0.4165;0.450843478
168;HIPK2;0.034205328;0.781844639;0.886407447;0.4195;0.452007205
244;NGEF;0.024356026;0.843709758;0.895070093;0.4205;0.452007205
59;CHST11;0.029414291;0.811795005;0.88984472;0.4245;0.453691977
198;KPNA1;-0.025501293;0.836459833;0.894368512;0.424;0.453691977
68;CLU;-0.020309413;0.869425981;0.909154481;0.429;0.456183239
144;GNAL;-0.031265807;0.800186079;0.88984472;0.43;0.456183239
355;TSC22D1;0.012903349;0.916823872;0.947300012;0.4305;0.456183239
306;SEMA3A;0.020710257;0.866872136;0.909154481;0.437;0.461759207
115;ETFA;0.024203323;0.844677407;0.895070093;0.4395;0.463088983
69;CNBP;0.021244715;0.863469123;0.909154481;0.443;0.464678371
270;PEG3;-0.021225627;0.863590617;0.909154481;0.4435;0.464678371
47;CDH11;-0.009906565;0.936094875;0.961510255;0.452;0.469358333
164;H1F0;-0.009505722;0.938675546;0.961510255;0.45;0.469358333
213;MAPK6;-0.007730557;0.950111433;0.96564459;0.4515;0.469358333
367;RBM25;0.020194886;0.870155897;0.909154481;0.453;0.469358333
273;PLEKHA5;-0.010116531;0.934743355;0.961510255;0.455;0.470124654
200;LCP1;0.007883259;0.949127273;0.96564459;0.462;0.476038674
26;BCL11A;-0.017465332;0.887582866;0.924772092;0.4655;0.478323691
309;SEMA5A;0.005516373;0.964389368;0.971940657;0.47;0.481620879
229;MPI;0.005516373;0.964389368;0.971940657;0.473;0.483367123
313;Sep 07;-0.027467336;0.824046043;0.890925143;0.4755;0.484594262
117;FAIM2;0.009162141;0.940888051;0.961510255;0.479;0.485508152
326;SOX21;-0.016377328;0.894544585;0.926847583;0.4785;0.485508152
298;RNF122;0.016988137;0.89063524;0.925367533;0.4945;0.499860434
84;CTBP2;0.005153704;0.966729179;0.971940657;0.504;0.508086486
293;RGS8;0.006031743;0.961064895;0.971940657;0.52;0.522803235
20;ASCL1;-0.000973478;0.993713795;0.996385068;0.5275;0.528918011
85;CTGF;-0.000209966;0.998644139;0.998644139;0.534;0.534
